"ClusterID","File-Name","Cluster","Group","PD-1"
5704,"CD_P176_CD3+_7500","CD4 non-classical Th1 EM GrB+","Newly",0.0919298582523164
5708,"CD_P176_CD3+_7500","CD4 Th17 CM","Newly",0.407917183997015
5710,"CD_P176_CD3+_7500","CD4 Th2 CM (1)","Newly",0.428366662913964
5723,"CD_P176_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.09998040551052
5724,"CD_P176_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.6981548047123
5732,"CD_P176_CD3+_7500","CD4 Th1 EM GrB+","Newly",1.11904120724087
5739,"CD_P176_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",0.0685387376653837
5740,"CD_P176_CD3+_7500","CD4 Th2-like EM","Newly",0.859520298840757
5704,"CD_P177_CD3+_7500","CD4 non-classical Th1 EM GrB+","Newly",1.66944081712581
5708,"CD_P177_CD3+_7500","CD4 Th17 CM","Newly",0.471321239905363
5710,"CD_P177_CD3+_7500","CD4 Th2 CM (1)","Newly",0.349711266270218
5723,"CD_P177_CD3+_7500","CD8 Tc1 EM (1)","Newly",0.0814958110106986
5724,"CD_P177_CD3+_7500","CD8 Tc1 EM (1)","Newly",0.397208648366507
5732,"CD_P177_CD3+_7500","CD4 Th1 EM GrB+","Newly",0.994082903184403
5739,"CD_P177_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",0.752369805761143
5740,"CD_P177_CD3+_7500","CD4 Th2-like EM","Newly",0.380694694386104
5704,"CD_P178_CD3+_7500","CD4 non-classical Th1 EM GrB+","Newly",1.18686243542606
5708,"CD_P178_CD3+_7500","CD4 Th17 CM","Newly",0.693111245724317
5710,"CD_P178_CD3+_7500","CD4 Th2 CM (1)","Newly",0.721614760848382
5723,"CD_P178_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.3383168837181
5724,"CD_P178_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.54962998462164
5732,"CD_P178_CD3+_7500","CD4 Th1 EM GrB+","Newly",0.285952203004378
5739,"CD_P178_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",1.3918005245938
5740,"CD_P178_CD3+_7500","CD4 Th2-like EM","Newly",1.94293793035814
5704,"CD_P179_CD3+_7500","CD4 non-classical Th1 EM GrB+","Newly",2.27837345919191
5708,"CD_P179_CD3+_7500","CD4 Th17 CM","Newly",1.17342992739803
5710,"CD_P179_CD3+_7500","CD4 Th2 CM (1)","Newly",0.832808406249756
5723,"CD_P179_CD3+_7500","CD8 Tc1 EM (1)","Newly",0.135732983296558
5724,"CD_P179_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.54604127190571
5732,"CD_P179_CD3+_7500","CD4 Th1 EM GrB+","Newly",1.73398554820999
5739,"CD_P179_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",1.19553267134909
5740,"CD_P179_CD3+_7500","CD4 Th2-like EM","Newly",1.67160170510187
5704,"CD_P181_CD3+_7500","CD4 non-classical Th1 EM GrB+","Newly",-0.00046753766752266
5708,"CD_P181_CD3+_7500","CD4 Th17 CM","Newly",0.694758796910189
5710,"CD_P181_CD3+_7500","CD4 Th2 CM (1)","Newly",1.28435789055876
5723,"CD_P181_CD3+_7500","CD8 Tc1 EM (1)","Newly",0.628535412486894
5724,"CD_P181_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.21803167361703
5732,"CD_P181_CD3+_7500","CD4 Th1 EM GrB+","Newly",1.89292104699108
5739,"CD_P181_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",1.3357901379061
5740,"CD_P181_CD3+_7500","CD4 Th2-like EM","Newly",1.66638585568459
5708,"CD_P183_CD3+_7500","CD4 Th17 CM","Newly",0.100871227559001
5710,"CD_P183_CD3+_7500","CD4 Th2 CM (1)","Newly",0.722678825589614
5723,"CD_P183_CD3+_7500","CD8 Tc1 EM (1)","Newly",0.95895045659521
5724,"CD_P183_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.50954298195655
5732,"CD_P183_CD3+_7500","CD4 Th1 EM GrB+","Newly",1.9983425892206
5739,"CD_P183_CD3+_7500","CD4 Th17 CXCR5+ CM","Newly",0.336018156459818
5740,"CD_P183_CD3+_7500","CD4 Th2-like EM","Newly",0.36497108990569
5704,"CD_P187_CD3+_7500","CD4 non-classical Th1 EM GrB+","Newly",1.50522178791171
5708,"CD_P187_CD3+_7500","CD4 Th17 CM","Newly",0.925534340243305
5710,"CD_P187_CD3+_7500","CD4 Th2 CM (1)","Newly",0.588923946917059
5723,"CD_P187_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.24482017058008
5724,"CD_P187_CD3+_7500","CD8 Tc1 EM (1)","Newly",1.96915671246166
5732,"CD_P187_CD3+_7500","CD4 Th1 EM GrB+","Newly",0.421130024330095
