"Log2FoldChange","NumberOfClonotypes"
"-11",1
"-9.4",1
"-9.1",3
"-8.5",1
"-7.4",1
"-7.3",1
"-7.2",1
"-7",2
"-6.9",2
"-6.8",1
"-6.7",2
"-6.5",1
"-6.4",1
"-6.3",2
"-6.2",5
"-6.1",3
"-6",5
"-5.9",6
"-5.8",8
"-5.7",5
"-5.6",7
"-5.5",15
"-5.4",5
"-5.3",19
"-5.2",15
"-5.1",23
"-5",18
"-4.9",23
"-4.8",39
"-4.7",33
"-4.6",27
"-4.5",82
"-4.4",31
"-4.3",50
"-4.2",53
"-4.1",173
"-4",59
"-3.9",77
"-3.8",107
"-3.7",203
"-3.6",163
"-3.5",589
"-3.4",116
"-3.3",291
"-3.2",198
"-3.1",834
"-3",402
"-2.9",311
"-2.8",410
"-2.7",3686
"-2.6",1423
"-2.5",4366
"-2.4",943
"-2.3",1960
"-2.2",642
"-2.1",6478
"-2",2712
"-1.9",2019
"-1.8",3585
"-1.7",4726
"-1.6",57924
"-1.5",129297
"-1.4",5394
"-1.3",62585
"-1.2",1976
"-1.1",91553
"-1",49046
"-0.9",10332
"-0.8",92672
"-0.7",26643
"-0.6",91205
"-0.5",68238
"-0.4",84617
"-0.3",30024
"-0.2",6979
"-0.1",58055
"0",78408
"0.1",106004
"0.2",85229
"0.3",307569
"0.4",48186
"0.5",42441
"0.6",179290
"0.7",323298
"0.8",29384
"0.9",289307
"1",157021
"1.1",149627
"1.2",68405
"1.3",249133
"1.4",36535
"1.5",9801
"1.6",25238
"1.7",45534
"1.8",9378
"1.9",27595
"2",16316
"2.1",13154
"2.2",12027
"2.3",20817
"2.4",6672
"2.5",4964
"2.6",7949
"2.7",4904
"2.8",2991
"2.9",3349
"3",3153
"3.1",1389
"3.2",1733
"3.3",1763
"3.4",1289
"3.5",927
"3.6",1153
"3.7",674
"3.8",819
"3.9",424
"4",547
"4.1",372
"4.2",365
"4.3",310
"4.4",243
"4.5",221
"4.6",232
"4.7",161
"4.8",169
"4.9",113
"5",135
"5.1",97
"5.2",90
"5.3",90
"5.4",59
"5.5",66
"5.6",47
"5.7",57
"5.8",42
"5.9",39
"6",39
"6.1",37
"6.2",30
"6.3",31
"6.4",19
"6.5",31
"6.6",26
"6.7",21
"6.8",20
"6.9",12
"7",14
"7.1",14
"7.2",17
"7.3",9
"7.4",7
"7.5",8
"7.6",4
"7.7",7
"7.8",9
"7.9",3
"8",5
"8.1",3
"8.2",5
"8.3",5
"8.4",5
"8.5",2
"8.6",2
"8.7",1
"8.9",2
"9",4
"9.1",1
"9.3",1
"9.5",1
"9.6",1
"9.8",2
"10.1",1
"10.7",1
"11.8",1
"12.5",1
